language pair	# of users
fr-iu	6
iu-ja	6
iu-kl	6
iu-pt	6
iu-simple	6
iu-tlh	6
kl-simple	6
kl-tlh	6
pt-tlh	6
diq-tk	6
lt-uk	6
ang-en-CA	5
ang-en-GB	5
en-CA-en-GB	5
en-CA-grc	5
en-CA-la	5
en-GB-grc	5
en-GB-la	5
ar-cmn	5
cmn-es	5
cmn-fr	5
cmn-ru	5
ast-ca	5
ast-de	5
ast-gl	5
ast-pt	5
de-gl	5
an-en	5
an-es	5
de-ga	5
fr-ga	5
ca-nl	5
bn-or	5
hi-or	5
en-otk	5
kk-otk	5
otk-ru	5
tr-tt	5
ceb-de	5
ceb-hi	5
ceb-id	5
ceb-ja	5
ceb-no	5
ceb-pt	5
ceb-sv	5
ceb-th	5
ceb-zh	5
de-tl	5
hi-tl	5
sv-tl	5
th-tl	5
tl-zh	5
bg-mk	5
bg-cs	5
en-ne	5
bn-te	5
ca-pl	5
eo-tl	5
es-ia	5
ia-it	5
ia-pt	5
ia-tl	5
ca-sv	5
it-sdc	5
it-sdn	5
sdc-sdn	5
ckb-ku	5
ku-sdh	5
ku-tg	5
ky-tt	5
ee-en	5
bar-en	5
fa-tr	5
ar-hy	5
ar-ka	5
az-it	5
az-ka	5
cs-ka	5
hy-it	5
hy-ka	5
it-ka	5
ka-pl	5
ka-sk	5
ka-uk	5
be-de	5
eo-ro	5
eo-sv	5
et-fi	5
en-qu	5
qu-sl	5
ar-da	5
ar-fi	5
da-he	5
da-ko	5
he-ja	5
he-zh	5
it-ko	5
ko-pl	5
tk-uz	5
tt-uz	5
es-uk	5
fa-it	5
egl-simple	5
es-ta	5
es-ur	5
bat-smg-lt	5
la-nl	5
af-es	5
af-fr	5
es-id	5
fa-hi	5
fr-ur	5
fr-vi	5
sl-sr	5
zh-CN-zh-Hans	5
diq-kiu	5
fr-grc	5
la-sv	5
lzh-zh	5
en-pa	5
en-pnb	5
pnb-ur	5
az-es	5
da-la	5
en-nap	5
es-nap	5
de-te	5
es-sc	5
fr-gsw	5
gag-tk	5
crh-ru	5
crh-uk	5
en-kaa	5
kaa-kk	5
kaa-uz	5
hi-ml	4
ady-ru	4
br-fr	4
bg-pt	4
es-ga	4
ga-pt	4
as-or	4
as-rjs	4
as-rkt	4
bn-rjs	4
bn-rkt	4
hi-rjs	4
hi-rkt	4
or-rjs	4
or-rkt	4
rjs-rkt	4
en-mdf	4
mdf-ru	4
ba-tt	4
bg-it	4
bg-ro	4
bg-sv	4
en-map-bms	4
id-map-bms	4
jv-map-bms	4
fr-li	4
bo-en	4
sr-uk	4
es-vec	4
it-lt	4
ca-ia	4
ca-tl	4
fr-pt-BR	4
ca-zh	4
ca-simple	4
tt-uk	4
ka-tr	4
be-cs	4
be-eo	4
en-yi	4
eo-lt	4
eo-lv	4
lt-pl	4
en-szl	4
en-sw	4
fr-jv	4
jv-ms	4
de-hsb	4
cs-hsb	4
el-eo	4
en-rue	4
de-qu	4
cu-tr	4
es-tk	4
ar-hu	4
ar-ko	4
fi-he	4
he-hu	4
he-ko	4
he-nl	4
he-no	4
ko-tr	4
kk-tk	4
ky-tk	4
ky-uz	4
be-fr	4
be-sv	4
ca-uk	4
fa-pl	4
es-grc	4
de-pfl	4
bat-smg-en	4
als-eo	4
eo-la	4
la-sr	4
crh-tr	4
af-it	4
de-vi	4
fa-ur	4
he-ro	4
pt-sl	4
pt-uk	4
bs-es	4
bs-fr	4
en-se	4
eo-zh	4
en-zh-CN	4
en-zh-TW	4
zh-zh-Hans	4
zh-zh-Hant	4
zh-CN-zh-TW	4
hi-hif	4
hif-ne	4
en-mr	4
hi-mr	4
en-nan	4
ms-yue	4
pa-ur	4
kea-pt	4
ja-yue	4
en-sa	4
la-zh	4
cv-ru	4
fr-sh	4
es-lt	4
eo-he	4
ja-la	4
es-te	4
fa-ta	4
fa-te	4
fr-ta	4
fr-te	4
en-pms	4
fr-nap	4
az-kiu	4
kiu-tk	4
kiu-tr	4
az-fr	4
az-he	4
az-lad	4
fr-lad	4
lad-tr	4
fo-is	4
de-fo	4
it-sh	4
fr-wa	4
sh-sl	4
kaa-tk	4
kaa-ru	4
kk-lt	4
lv-uk	4
nds-nl	4
fr-ka	3
ar-ary	3
ary-en	3
ary-fr	3
fa-hy	3
bqi-en	3
bqi-fa	3
an-de	3
an-ca	3
br-es	3
ga-ru	3
az-tly	3
tly-tr	3
ba-ru	3
ar-id	3
bg-tr	3
grc-sr	3
bg-hu	3
bg-fa	3
bg-el	3
bg-grc	3
bg-sr	3
bg-bs	3
bg-hr	3
bg-sh	3
bs-mk	3
mk-sh	3
bo-zh	3
ky-otk	3
ar-ca	3
eu-fr	3
ca-vec	3
en-GB-es	3
en-GB-fr	3
nl-vls	3
gl-la	3
ca-pt-BR	3
es-pt-BR	3
de-rm	3
en-rm	3
es-rm	3
ceb-hil	3
en-hil	3
hil-tl	3
arc-en	3
cs-rue	3
ru-rue	3
bs-cs	3
bs-sk	3
cs-fur	3
fur-it	3
de-szl	3
de-ka	3
en-yo	3
en-hsb	3
eo-no	3
es-et	3
et-fr	3
rue-sk	3
cs-dsb	3
de-dsb	3
dsb-en	3
dsb-hsb	3
dsb-pl	3
hsb-pl	3
grc-ru	3
